id,gender,raceeth,sexornt,age,educ5,pid7,ideo,abortion,climate_weather,deathpenalty,photoid,tax_mil,trans_discr,blm_ft,fauci_ft,feminists_ft,nra_ft,police_ft,scotus_ft,socialists_ft
200381,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,66,post-grad,6. Not very strong Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,90,100,70,15,70,40,45
200404,1. Male,3. Hispanic,1. Heterosexual or straight,41,HS,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,85,50,15,50,40,50,50
200411,2. Female,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic alone",1. Heterosexual or straight,52,HS,4. Independent,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,3. A moderate amount,1. Favor strongly,4. Neither favor nor oppose,2. Oppose,3. A moderate amount,0,40,0,,50,15,15
200435,1. Male,"5. Native American/Alaska Native or other race, non-Hispanic alone",1. Heterosexual or straight,45,some college,4. Independent,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",1. Not at all,4. Oppose strongly,4. Neither favor nor oppose,2. Oppose,3. A moderate amount,50,0,50,50,15,0,50
200442,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,46,post-grad,1. Strong Democrat,2. Liberal,,5. A great deal,2. Favor not strongly,4. Neither favor nor oppose,1. Favor,2. A lot,60,70,70,0,70,15,60
200459,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,66,bachelors,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",1. Not at all,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,4. A little,0,15,15,100,100,70,0
200466,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,60,post-grad,2. Not very strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,7. Oppose a great deal,1. Favor,3. A moderate amount,70,100,85,20,70,60,50
200473,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,73,bachelors,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,50,50,50,70,70,70,0
200480,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,71,some college,1. Strong Democrat,6. Conservative,"1. By law, abortion should never be permitted",5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,3. A moderate amount,70,50,85,0,85,85,85
200497,2. Female,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),28,post-grad,3. Independent-Democrat,1. Extremely liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,4. Oppose strongly,7. Oppose a great deal,1. Favor,1. A great deal,100,70,100,10,10,60,100
200503,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,73,post-grad,1. Strong Democrat,1. Extremely liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,6. Oppose moderately,1. Favor,2. A lot,85,100,100,0,15,50,50
200510,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,,bachelors,7. Strong Republican,6. Conservative,,1. Not at all,4. Oppose strongly,1. Favor a great deal,2. Oppose,4. A little,0,60,15,85,70,70,0
200527,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,37,bachelors,7. Strong Republican,6. Conservative,,2. A little,2. Favor not strongly,1. Favor a great deal,3. Neither favor nor oppose,2. A lot,40,50,40,50,85,50,30
200534,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,56,some college,1. Strong Democrat,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,4. Oppose strongly,6. Oppose moderately,3. Neither favor nor oppose,2. A lot,90,50,60,65,65,55,60
200541,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,48,post-grad,7. Strong Republican,7. Extremely conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",1. Not at all,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,0,4,15,85,100,75,0
200558,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,53,bachelors,7. Strong Republican,7. Extremely conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,1. Not at all,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,0,0,0,100,100,70,
200565,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,72,some college,5. Independent-Republican,3. Slightly liberal,,3. A moderate amount,3. Oppose not strongly,1. Favor a great deal,2. Oppose,2. A lot,50,50,50,60,60,50,50
200589,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,55,HS,7. Strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",2. A little,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,4. A little,0,50,0,99,99,20,0
200596,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,79,some college,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,1. Favor strongly,6. Oppose moderately,1. Favor,3. A moderate amount,60,100,60,15,85,70,70
200602,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,38,bachelors,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,4. Oppose strongly,4. Neither favor nor oppose,1. Favor,2. A lot,60,90,70,0,50,60,30
200626,2. Female,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic alone",1. Heterosexual or straight,42,bachelors,7. Strong Republican,2. Liberal,"1. By law, abortion should never be permitted",5. A great deal,4. Oppose strongly,2. Favor moderately,1. Favor,2. A lot,20,70,50,,70,80,70
200633,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,70,post-grad,3. Independent-Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,1. Favor strongly,3. Favor a little,1. Favor,1. A great deal,70,100,70,10,85,85,50
200640,2. Female,"5. Native American/Alaska Native or other race, non-Hispanic alone",1. Heterosexual or straight,50,some college,1. Strong Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,3. A moderate amount,40,85,30,50,15,50,50
200671,2. Female,"2. Black, non-Hispanic",,50,post-grad,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,90,100,95,0,40,30,60
200688,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,27,<HS,4. Independent,2. Liberal,"1. By law, abortion should never be permitted",,1. Favor strongly,4. Neither favor nor oppose,,,,,,,,,
200695,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,62,HS,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,1. Favor strongly,4. Neither favor nor oppose,3. Neither favor nor oppose,1. A great deal,15,0,0,,100,60,
200701,2. Female,,1. Heterosexual or straight,51,some college,4. Independent,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,0,0,20,100,100,100,0
200718,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,60,some college,7. Strong Republican,6. Conservative,,,1. Favor strongly,1. Favor a great deal,,,,,,,,,
200725,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,65,post-grad,1. Strong Democrat,3. Slightly liberal,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,4. Oppose strongly,1. Favor a great deal,1. Favor,3. A moderate amount,50,100,50,45,90,90,49
200732,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,,post-grad,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,3. Favor a little,1. Favor,2. A lot,70,95,85,15,60,60,60
200749,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,48,HS,6. Not very strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,2. Favor not strongly,2. Favor moderately,1. Favor,2. A lot,60,100,60,85,60,60,60
200756,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,55,HS,5. Independent-Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,3. Oppose not strongly,1. Favor a great deal,3. Neither favor nor oppose,4. A little,0,40,50,100,85,60,0
200763,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,54,bachelors,4. Independent,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,2. A lot,70,85,60,20,60,85,40
200770,2. Female,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),38,post-grad,2. Not very strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,1. Favor a great deal,2. Oppose,3. A moderate amount,75,50,50,50,50,50,50
200787,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,80,post-grad,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,85,100,85,15,40,30,85
200794,2. Female,"6. Multiple races, non-Hispanic",1. Heterosexual or straight,37,post-grad,2. Not very strong Democrat,2. Liberal,,5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,1. A great deal,70,70,50,0,50,30,85
200800,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,38,bachelors,3. Independent-Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,3. Favor a little,1. Favor,2. A lot,70,85,85,15,70,70,15
200817,1. Male,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),60,some college,5. Independent-Republican,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,4. A little,60,100,50,85,70,85,
200824,1. Male,"6. Multiple races, non-Hispanic",1. Heterosexual or straight,46,some college,3. Independent-Democrat,5. Slightly conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",5. A great deal,3. Oppose not strongly,2. Favor moderately,1. Favor,2. A lot,85,100,70,60,85,50,70
200831,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,78,post-grad,1. Strong Democrat,1. Extremely liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,7. Oppose a great deal,1. Favor,1. A great deal,100,100,100,0,15,15,100
200855,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,39,post-grad,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,7. Oppose a great deal,1. Favor,1. A great deal,70,90,80,10,45,65,70
200862,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,33,post-grad,2. Not very strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,4. Oppose strongly,7. Oppose a great deal,1. Favor,2. A lot,100,100,100,30,40,40,50
200879,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,74,post-grad,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,3. Oppose not strongly,2. Favor moderately,1. Favor,3. A moderate amount,100,85,100,40,50,100,50
200886,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,61,some college,2. Not very strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,2. Favor moderately,1. Favor,2. A lot,15,100,50,50,85,40,15
200893,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,67,some college,1. Strong Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",2. A little,1. Favor strongly,2. Favor moderately,1. Favor,2. A lot,50,100,85,70,100,100,85
200909,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,60,HS,2. Not very strong Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,50,80,50,0,85,60,40
200916,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,,some college,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,1. Favor strongly,1. Favor a great deal,1. Favor,4. A little,0,60,0,85,100,85,0
200947,1. Male,"2. Black, non-Hispanic",1. Heterosexual or straight,21,some college,4. Independent,6. Conservative,"1. By law, abortion should never be permitted",4. A lot,3. Oppose not strongly,4. Neither favor nor oppose,2. Oppose,3. A moderate amount,50,85,50,,50,50,50
200954,2. Female,"2. Black, non-Hispanic",4. Something else {SPECIFY},49,<HS,1. Strong Democrat,2. Liberal,"2. The law should permit abortion only in case of rape, incest, or when the woma",4. A lot,3. Oppose not strongly,6. Oppose moderately,2. Oppose,1. A great deal,100,60,100,50,60,50,100
200985,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,80,post-grad,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,4. Neither favor nor oppose,1. Favor,2. A lot,7,9,5,5,8,9,4
201001,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,70,some college,5. Independent-Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,1. Favor strongly,1. Favor a great deal,2. Oppose,2. A lot,15,70,40,60,70,85,15
201025,2. Female,"1. White, non-Hispanic",,70,HS,1. Strong Democrat,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,85,100,70,70,100,85,40
201032,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,72,bachelors,5. Independent-Republican,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,3. A moderate amount,2. Favor not strongly,1. Favor a great deal,2. Oppose,2. A lot,60,100,60,30,70,70,15
201063,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,78,some college,7. Strong Republican,7. Extremely conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",1. Not at all,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,0,60,0,100,100,85,0
201070,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,43,bachelors,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,4. Oppose strongly,6. Oppose moderately,1. Favor,2. A lot,80,100,60,70,60,40,20
201087,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,45,some college,4. Independent,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,4. A lot,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,85,85,50,0,60,60,50
201094,2. Female,"1. White, non-Hispanic",3. Bisexual,44,bachelors,2. Not very strong Democrat,3. Slightly liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,3. Oppose not strongly,6. Oppose moderately,1. Favor,1. A great deal,85,100,85,0,40,70,85
201100,2. Female,3. Hispanic,1. Heterosexual or straight,50,some college,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,60,60,60,50,100,60,50
201117,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,,post-grad,4. Independent,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,2. Favor moderately,1. Favor,3. A moderate amount,80,50,80,50,65,50,50
201124,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,33,bachelors,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,70,85,50,0,15,40,50
201131,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,55,HS,7. Strong Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,4. A lot,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,0,85,50,,100,100,
201155,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,28,bachelors,6. Not very strong Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,2. Favor moderately,3. Neither favor nor oppose,3. A moderate amount,85,50,15,50,60,50,0
201179,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,34,post-grad,7. Strong Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",2. A little,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,30,100,0,70,70,85,0
201186,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,24,bachelors,7. Strong Republican,2. Liberal,,3. A moderate amount,3. Oppose not strongly,1. Favor a great deal,2. Oppose,3. A moderate amount,0,15,50,50,100,50,
201193,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,26,some college,7. Strong Republican,7. Extremely conservative,"1. By law, abortion should never be permitted",1. Not at all,2. Favor not strongly,1. Favor a great deal,3. Neither favor nor oppose,3. A moderate amount,0,0,0,100,100,100,0
201209,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,75,HS,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,60,85,60,0,70,50,50
201216,1. Male,"5. Native American/Alaska Native or other race, non-Hispanic alone",1. Heterosexual or straight,61,bachelors,4. Independent,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,0,50,50,60,70,70,0
201223,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,post-grad,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,2. A lot,40,50,40,85,100,85,0
201230,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,58,some college,3. Independent-Democrat,3. Slightly liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,3. Oppose not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,85,100,60,0,60,30,50
201247,2. Female,3. Hispanic,1. Heterosexual or straight,50,bachelors,2. Not very strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,100,100,100,30,60,40,30
201254,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,76,bachelors,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,85,100,90,0,85,50,85
201261,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,some college,4. Independent,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,2. Favor moderately,1. Favor,4. A little,60,70,60,50,70,70,40
